[2022-01-14 06:02:52,706][INFO] logging into ./results/hairGAN.log
[2022-01-14 06:03:05,993][INFO] found 20 images in the folder
[2022-01-14 06:03:05,993][INFO] Loading models for stylegan inversion.
[2022-01-14 06:03:05,993][INFO] Loading inverter model.
[2022-01-14 06:03:05,994][INFO] Build network for module `generator` in model `styleganinv_ffhq256`.
[2022-01-14 06:03:06,230][INFO] Loading pytorch weights from `/content/drive/My Drive/GAN/hairGAN/pretrained_models/styleganinv_ffhq256_generator.pth`.
[2022-01-14 06:03:12,668][INFO] Successfully loaded!
[2022-01-14 06:03:12,670][INFO] Current `lod` is 0.0.
[2022-01-14 06:03:12,671][INFO] Build network for module `encoder` in model `styleganinv_ffhq256`.
[2022-01-14 06:03:13,863][INFO] Loading pytorch weights from `/content/drive/My Drive/GAN/hairGAN/pretrained_models/styleganinv_ffhq256_encoder.pth`.
[2022-01-14 06:03:24,785][INFO] Successfully loaded!
[2022-01-14 06:03:28,401][INFO] Loading generator model.
[2022-01-14 06:03:28,949][INFO] Loading models for hypergan inpainting.
[2022-01-14 06:04:06,340][INFO] succesfully completed inpainting on 20 / 20 images
[2022-01-14 06:04:06,340][INFO] starting inversion!
[2022-01-14 06:04:21,383][DEBUG] Step: 00062, lr: 1.00e-02, loss_pix: 0.152, loss_ssim: 0.386, loss_feat: 2733.829, loss_reg: 0.171, loss: -0.768
[2022-01-14 06:04:21,503][DEBUG] Step: 00063, lr: 1.00e-02, loss_pix: 0.151, loss_ssim: 0.388, loss_feat: 2719.178, loss_reg: 0.170, loss: -0.776
[2022-01-14 06:04:21,623][DEBUG] Step: 00064, lr: 1.00e-02, loss_pix: 0.150, loss_ssim: 0.390, loss_feat: 2704.663, loss_reg: 0.168, loss: -0.784
[2022-01-14 06:04:21,744][DEBUG] Step: 00065, lr: 1.00e-02, loss_pix: 0.149, loss_ssim: 0.392, loss_feat: 2689.854, loss_reg: 0.167, loss: -0.791
[2022-01-14 06:04:21,864][DEBUG] Step: 00066, lr: 1.00e-02, loss_pix: 0.149, loss_ssim: 0.394, loss_feat: 2676.160, loss_reg: 0.166, loss: -0.799
[2022-01-14 06:04:21,983][DEBUG] Step: 00067, lr: 1.00e-02, loss_pix: 0.148, loss_ssim: 0.395, loss_feat: 2662.517, loss_reg: 0.165, loss: -0.806
[2022-01-14 06:04:22,103][DEBUG] Step: 00068, lr: 1.00e-02, loss_pix: 0.147, loss_ssim: 0.397, loss_feat: 2648.272, loss_reg: 0.164, loss: -0.812
[2022-01-14 06:04:22,222][DEBUG] Step: 00069, lr: 1.00e-02, loss_pix: 0.146, loss_ssim: 0.398, loss_feat: 2633.265, loss_reg: 0.163, loss: -0.819
[2022-01-14 06:04:22,341][DEBUG] Step: 00070, lr: 1.00e-02, loss_pix: 0.145, loss_ssim: 0.400, loss_feat: 2617.280, loss_reg: 0.162, loss: -0.826
[2022-01-14 06:04:22,462][DEBUG] Step: 00071, lr: 1.00e-02, loss_pix: 0.145, loss_ssim: 0.401, loss_feat: 2601.330, loss_reg: 0.161, loss: -0.833
[2022-01-14 06:04:22,581][DEBUG] Step: 00072, lr: 1.00e-02, loss_pix: 0.144, loss_ssim: 0.403, loss_feat: 2587.622, loss_reg: 0.160, loss: -0.840
[2022-01-14 06:04:22,700][DEBUG] Step: 00073, lr: 1.00e-02, loss_pix: 0.143, loss_ssim: 0.404, loss_feat: 2572.297, loss_reg: 0.159, loss: -0.846
[2022-01-14 06:04:22,819][DEBUG] Step: 00074, lr: 1.00e-02, loss_pix: 0.142, loss_ssim: 0.406, loss_feat: 2556.280, loss_reg: 0.158, loss: -0.853
[2022-01-14 06:04:22,938][DEBUG] Step: 00075, lr: 1.00e-02, loss_pix: 0.141, loss_ssim: 0.408, loss_feat: 2541.020, loss_reg: 0.157, loss: -0.860
[2022-01-14 06:04:23,057][DEBUG] Step: 00076, lr: 1.00e-02, loss_pix: 0.141, loss_ssim: 0.409, loss_feat: 2526.482, loss_reg: 0.156, loss: -0.867
[2022-01-14 06:04:23,176][DEBUG] Step: 00077, lr: 1.00e-02, loss_pix: 0.140, loss_ssim: 0.411, loss_feat: 2512.436, loss_reg: 0.154, loss: -0.874
[2022-01-14 06:04:23,296][DEBUG] Step: 00078, lr: 1.00e-02, loss_pix: 0.139, loss_ssim: 0.412, loss_feat: 2499.222, loss_reg: 0.153, loss: -0.881
[2022-01-14 06:04:23,415][DEBUG] Step: 00079, lr: 1.00e-02, loss_pix: 0.139, loss_ssim: 0.414, loss_feat: 2486.925, loss_reg: 0.152, loss: -0.888
[2022-01-14 06:04:23,533][DEBUG] Step: 00080, lr: 1.00e-02, loss_pix: 0.138, loss_ssim: 0.416, loss_feat: 2476.053, loss_reg: 0.151, loss: -0.895
[2022-01-14 06:04:23,654][DEBUG] Step: 00081, lr: 1.00e-02, loss_pix: 0.137, loss_ssim: 0.418, loss_feat: 2467.007, loss_reg: 0.151, loss: -0.902
[2022-01-14 06:04:23,774][DEBUG] Step: 00082, lr: 1.00e-02, loss_pix: 0.137, loss_ssim: 0.419, loss_feat: 2458.558, loss_reg: 0.150, loss: -0.909
[2022-01-14 06:04:23,899][DEBUG] Step: 00083, lr: 1.00e-02, loss_pix: 0.136, loss_ssim: 0.421, loss_feat: 2450.167, loss_reg: 0.149, loss: -0.914
[2022-01-14 06:04:24,017][DEBUG] Step: 00084, lr: 1.00e-02, loss_pix: 0.135, loss_ssim: 0.422, loss_feat: 2441.277, loss_reg: 0.148, loss: -0.920
[2022-01-14 06:04:24,138][DEBUG] Step: 00085, lr: 1.00e-02, loss_pix: 0.135, loss_ssim: 0.423, loss_feat: 2432.015, loss_reg: 0.148, loss: -0.925
[2022-01-14 06:04:24,257][DEBUG] Step: 00086, lr: 1.00e-02, loss_pix: 0.134, loss_ssim: 0.425, loss_feat: 2422.846, loss_reg: 0.147, loss: -0.931
[2022-01-14 06:04:24,376][DEBUG] Step: 00087, lr: 1.00e-02, loss_pix: 0.133, loss_ssim: 0.426, loss_feat: 2413.220, loss_reg: 0.146, loss: -0.937
[2022-01-14 06:04:24,498][DEBUG] Step: 00088, lr: 1.00e-02, loss_pix: 0.133, loss_ssim: 0.428, loss_feat: 2403.832, loss_reg: 0.146, loss: -0.943
[2022-01-14 06:04:24,617][DEBUG] Step: 00089, lr: 1.00e-02, loss_pix: 0.132, loss_ssim: 0.429, loss_feat: 2395.376, loss_reg: 0.146, loss: -0.949
[2022-01-14 06:04:24,735][DEBUG] Step: 00090, lr: 1.00e-02, loss_pix: 0.131, loss_ssim: 0.430, loss_feat: 2388.068, loss_reg: 0.145, loss: -0.954
[2022-01-14 06:04:24,854][DEBUG] Step: 00091, lr: 1.00e-02, loss_pix: 0.131, loss_ssim: 0.432, loss_feat: 2383.145, loss_reg: 0.145, loss: -0.959
[2022-01-14 06:04:24,975][DEBUG] Step: 00092, lr: 1.00e-02, loss_pix: 0.130, loss_ssim: 0.433, loss_feat: 2378.963, loss_reg: 0.144, loss: -0.964
[2022-01-14 06:04:25,095][DEBUG] Step: 00093, lr: 1.00e-02, loss_pix: 0.129, loss_ssim: 0.435, loss_feat: 2375.634, loss_reg: 0.144, loss: -0.969
[2022-01-14 06:04:25,216][DEBUG] Step: 00094, lr: 1.00e-02, loss_pix: 0.129, loss_ssim: 0.436, loss_feat: 2371.877, loss_reg: 0.144, loss: -0.974
[2022-01-14 06:04:25,334][DEBUG] Step: 00095, lr: 1.00e-02, loss_pix: 0.128, loss_ssim: 0.437, loss_feat: 2366.645, loss_reg: 0.143, loss: -0.979
